,Price,BHK,Furnishing,Available for,Bathrooms
0,"₹52,000",3 BHK Apartment,Furnished,Bachelors/Family,3
1,"₹40,000",3 BHK Apartment,Semi-Furnished,Bachelors/Family,2
2,"₹55,000",3 BHK Apartment,Furnished,Bachelors/Family,2
3,"₹60,000",3 BHK Apartment,Furnished,Bachelors/Family,2
4,"₹50,000",3 BHK Apartment,Furnished,Bachelors/Family,2
5,"₹41,000",2 BHK Apartment,Furnished,Bachelors,2
6,"₹40,000",2 BHK Apartment,Furnished,Bachelors/Family,2
7,"₹43,000",3 BHK Apartment,Semi-Furnished,Bachelors/Family,2
8,"₹60,000",3 BHK Apartment,Furnished,Family,2
9,"₹53,000",3 BHK Apartment,Furnished,Bachelors/Family,3
10,"₹55,000",3 BHK House,Semi-Furnished,Bachelors/Family,3
11,"₹50,000",3 BHK Apartment,Furnished,Bachelors/Family,2
12,"₹45,000",3 BHK Apartment,Furnished,Bachelors/Family,2
13,"₹45,000",3 BHK Apartment,Furnished,Bachelors/Family,2
14,"₹70,000",4 BHK Apartment,Furnished,Bachelors,4
15,"₹43,000",3 BHK Apartment,Unfurnished,Bachelors/Family,2
16,"₹45,000",3 BHK Apartment,Furnished,Bachelors,2
17,"₹45,000",2 BHK Apartment,Furnished,Bachelors/Family,2
18,"₹70,000",3 BHK Apartment,Furnished,Bachelors,3
19,"₹40,000",2 BHK Apartment,Furnished,Bachelors/Family,2
20,"₹48,000",3 BHK Apartment,Semi-Furnished,Bachelors/Family,3
21,"₹50,000",3 BHK Apartment,Furnished,Bachelors/Family,2
22,"₹44,000",3 BHK Builder Floor,Furnished,Bachelors/Family,2
23,"₹75,000",3 BHK Apartment,Furnished,Bachelors/Family,2
24,"₹48,000",3 BHK Apartment,Furnished,Bachelors/Family,2
25,"₹60,000",3 BHK Apartment,Furnished,Bachelors/Family,2
26,"₹65,000",3 BHK Apartment,Furnished,Bachelors/Family,3
27,"₹55,000",3 BHK Apartment,Unfurnished,Bachelors/Family,2
